stress
3
1800
-1
0
0.0012624105545920744
10000.010728053423
1	-1.157287E-01	-1.193616E-01	-9.999995E+03	-2.487936E-03	-8.647140E-03	-8.749698E-03	
2	-9.681709E-02	-1.134674E-01	-9.999949E+03	-6.707847E-03	-7.318748E-03	-3.037809E-02	
3	-5.349184E-02	-8.562927E-02	-9.999836E+03	-8.900919E-03	-5.148468E-03	-6.773182E-02	
4	-8.555169E-03	5.464741E-02	-9.999380E+03	-6.475354E-03	-4.054621E-03	-1.157808E-01	
5	-1.050437E-01	-9.981122E-02	-9.999950E+03	-6.811175E-03	-3.000279E-02	-7.855216E-03	
6	-9.039417E-02	-9.780530E-02	-9.999907E+03	-1.944883E-02	-2.586997E-02	-2.749586E-02	
7	-5.161474E-02	-7.990144E-02	-9.999800E+03	-2.720834E-02	-1.823742E-02	-6.327597E-02	
8	-9.309194E-03	4.503667E-02	-9.999357E+03	-2.099550E-02	-1.330298E-02	-1.124810E-01	
9	-6.857853E-02	-5.564679E-02	-9.999837E+03	-8.999736E-03	-6.700320E-02	-6.360716E-03	
10	-6.313024E-02	-5.716729E-02	-9.999801E+03	-2.690369E-02	-6.080150E-02	-2.222413E-02	
11	-4.357545E-02	-5.885080E-02	-9.999710E+03	-4.496812E-02	-4.484528E-02	-5.180067E-02	
12	-8.179434E-03	2.591641E-02	-9.999304E+03	-3.880864E-02	-2.612772E-02	-1.020446E-01	
13	8.299835E-02	-9.970201E-03	-9.999383E+03	-6.700409E-03	-1.147231E-01	-6.379281E-03	
14	7.560306E-02	-1.184724E-02	-9.999360E+03	-2.064092E-02	-1.101576E-01	-2.165738E-02	
15	6.131406E-02	-1.613313E-02	-9.999307E+03	-4.010987E-02	-9.355069E-02	-4.417335E-02	
16	1.986485E-02	5.075274E-04	-9.999011E+03	-6.275758E-02	-4.747030E-02	-7.069640E-02	
17	-4.653646E-03	-6.565172E-03	-9.999945E+03	-2.585615E-03	-1.310373E-02	-1.292596E-02	
18	5.913640E-03	-2.022849E-03	-9.999896E+03	-7.180873E-03	-1.105213E-02	-4.314158E-02	
